Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
2000,22.5,18.9,19.4,14,16,22,15,13.4,18.8,12.4,22.9,21.1
2001,19.3,20.3,18.5,24.1,17.5,29.4,17.2,22.6,16.2,17.8,25.7,20.2
2002,23.2,12.9,12.6,26.8,24.6,20.9,20.5,21.5,15.6,24.3,24.8,16.7
2003,27.6,17.3,16.4,19.6,21.6,21.3,17.5,21.3,15.9,21.1,23.3,30.7
2004,18.8,20.6,17.7,25,17.4,19.6,12.2,21.7,19.6,13.8,18.4,23.2
2005,18.8,14.2,25.3,21.8,22.6,10.4,20.3,16.6,21.7,20.9,23.8,9.9
2006,27.9,21.9,21.7,16.8,20.5,19.9,14.7,21.2,21.4,21.9,16.1,20.9
2007,23.8,17,11.2,21.8,24.8,20.3,22.4,21.5,24.1,15.6,18.8,16.7
2008,17.7,18.5,21.6,27.7,16.5,32.3,15.4,16.4,20.1,20.8,17.6,24.3
2009,22.7,17,18.1,19.8,18.4,19,27.7,29.3,27.3,20.3,20.4,16
2010,17.7,29.3,16.6,27.8,18,21.5,16.1,22.4,18.7,14.3,31.6,19.4
2011,17.7,19.9,23.1,6.9,12.7,19.8,18.4,14,33.6,21.8,10.7,22.5
2012,21.2,14.7,25.2,24.1,21.5,14.2,24.1,23.3,23.1,22.8,23.4,24.3
2013,10.4,24.1,24.7,20.4,21.3,25.7,13.8,15.1,15.7,25.4,11.9,14
2014,11.4,13.9,15.8,18.5,20,23.8,21.1,23.9,14.6,25.3,17.6,18.3
2015,17.2,21,18.5,20.5,18.8,24,26.5,25.8,22.4,13.1,25.4,17.6
2016,14.9,10.2,21.7,10.1,12.9,15.5,12,15.9,18.9,15.3,20.3,16.7
2017,21.6,13.4,24.9,18.9,17.9,27,20.9,24.8,23.6,22.6,14.6,28.8
2018,15.5,21,17.6,21.8,18.3,13,21.3,22.1,22.4,22.6,16.4,22
2019,12.9,23.7,19.1,27.4,16,22.9,23.9,24.1,19.6,22.6,23.4,13.7
2020,27.3,20.9,14.5,17.4,19.2,31,13.8,29.5,15.8,39.3,16.3,24.6
